,EAST,WEST,NORTH,COAST
7633,1491.746701,1162.456551,1040.985189,9889.328767
7634,1467.429459,1193.132905,1042.11053,9825.557965
7635,1484.328277,1230.352758,1051.331372,9920.546458
7636,1523.429407,1270.331788,1072.472048,10222.741775
7637,1634.703701,1343.095532,1131.155227,10993.182429
7638,1789.856781,1458.389948,1220.025018,11891.08152
7639,1825.143401,1457.795305,1251.896102,12109.622272
7640,1839.480287,1404.347763,1241.108637,12238.095811
7641,1850.939793,1338.03731,1220.961299,12274.828636
7642,1841.661322,1289.121194,1192.713636,12253.902342
7643,1824.131697,1234.118079,1156.107231,12006.085509
7644,1806.780037,1204.957964,1118.103097,11723.3415
7645,1802.545441,1178.960112,1081.250993,11527.050106
7646,1780.915773,1161.402143,1044.885402,11337.14232
7647,1790.121267,1176.306042,1030.770877,11286.628768
7648,1833.897263,1218.119159,1048.062043,11491.69182
7649,1905.267637,1272.022132,1101.250822,12041.433644
7650,1930.870689,1313.899802,1155.945802,12353.838619
7651,1941.086075,1320.01296,1169.086892,12381.224359
7652,1929.305157,1320.639434,1160.236141,12231.230511
7653,1811.178791,1297.530973,1131.181459,11888.701401
7654,1750.887551,1244.59713,1087.980473,11347.351707
7655,1682.935079,1200.432355,1060.404043,10925.268025
7656,1714.557607,1149.599958,1058.218533,10647.287889
7657,1697.578922,1160.923226,1066.57881,10558.691221
7658,1690.144979,1175.173812,1070.742389,10534.282896
7659,1723.598297,1191.835813,1084.313685,10606.795074
7660,1739.487468,1211.138088,1120.588961,10949.852569
7661,1790.806674,1263.582108,1176.737187,11605.412485
7662,1946.921129,1365.93383,1254.87966,12436.80128
7663,2034.483567,1400.737367,1275.480578,12737.030815
7664,2045.697036,1376.664515,1240.853989,12807.207218
7665,1916.71507,1312.106267,1175.58574,12788.647373
7666,1815.22378,1251.969957,1115.376724,12695.012041
7667,1705.623394,1210.754134,1061.772034,12428.276121
7668,1629.309633,1190.517392,1020.489663,12169.257826
7669,1562.421841,1168.347755,991.442101,12018.879472
7670,1574.231399,1156.934112,969.07238,11818.96852
7671,1587.915487,1165.171685,965.81508,11700.439415
7672,1641.465992,1202.897018,982.823161,11801.572174
7673,1777.0836,1261.574979,1040.131476,12254.492273
7674,1838.109587,1302.693393,1091.787963,12422.874884
7675,1894.045392,1321.838496,1111.991374,12425.282792
7676,1895.088999,1329.943,1111.895561,12311.197433
7677,1844.893097,1299.935539,1087.612625,11978.019481
7678,1767.499822,1237.345293,1052.778231,11452.628215
7679,1688.691795,1186.271074,1023.687774,10985.665489
7680,1572.976116,1191.571867,1018.953313,10672.786569
7681,1582.274707,1184.488464,1021.892635,10541.86034
7682,1572.188405,1178.71637,1031.772306,10464.540493
7683,1592.430577,1197.542122,1056.222135,10574.231835
7684,1640.122472,1223.047863,1093.181658,10884.502126
7685,1788.57042,1274.862101,1158.655722,11459.650293
7686,1947.910967,1324.809547,1253.59463,12205.997179
7687,1991.729942,1365.979965,1271.963442,12398.76636
7688,1948.918225,1320.457772,1222.159243,12354.546238
7689,1848.164747,1275.527879,1156.62248,12261.270288
7690,1765.507162,1225.50062,1103.077645,12175.07724
7691,1661.551148,1165.033797,1049.925547,11956.756565
7692,1560.924805,1133.461353,1002.466849,11775.919462
7693,1530.478469,1095.722395,976.900864,11596.717778
7694,1527.595879,1089.716478,956.457382,11462.441978
7695,1507.01481,1100.216741,949.33405,11479.521387
7696,1551.013201,1107.800104,958.553472,11586.557852
7697,1633.883093,1161.902157,1012.553337,11935.056173
7698,1751.573456,1238.031044,1069.31624,12022.287189
7699,1769.107192,1255.702546,1082.347161,11940.833332
7700,1771.928152,1266.066763,1081.559676,11784.062355
